      3440.00      0.00000
      3450.00   0.00159713
      3460.00   0.00319862
      3470.00   0.00480458
      3480.00   0.00481134
      3490.00   0.00481821
      3500.00   0.00482519
      3510.00   0.00966470
      3520.00   0.00967925
      3530.00    0.0145410
      3540.00    0.0145634
      3550.00    0.0194651
      3560.00    0.0243908
      3570.00    0.0293409
      3580.00    0.0343155
      3590.00    0.0442294
      3600.00    0.0541929
      3610.00    0.0642141
      3620.00    0.0841933
      3630.00     0.104278
      3640.00     0.124470
      3650.00     0.149651
      3660.00     0.184926
      3670.00     0.220340
      3680.00     0.270947
      3690.00     0.326781
      3700.00     0.402988
      3710.00     0.499582
      3720.00     0.626856
      3730.00     0.795105
      3740.00     0.999479
      3750.00      1.23708
      3760.00      1.54272
      3770.00      1.93542
      3780.00      2.45370
      3790.00      3.09570
      3800.00      3.90394
      3810.00      4.91524
      3820.00      6.14604
      3830.00      7.55417
      3840.00      9.12239
      3850.00      10.9203
      3860.00      13.0659
      3870.00      15.5879
      3880.00      18.1534
      3890.00      20.1137
      3900.00      20.9828
      3910.00      21.0320
      3920.00      21.0985
      3930.00      21.9295
      3940.00      23.7268
      3950.00      26.1526
      3960.00      28.4730
      3970.00      29.9441
      3980.00      30.4067
      3990.00      30.4254
      4000.00      30.6690
      4010.00      31.4206
      4020.00      32.4618
      4030.00      33.1684
      4040.00      32.9518
      4050.00      31.9205
      4060.00      30.5434
      4070.00      29.5546
      4080.00      29.3753
      4090.00      30.0665
      4100.00      31.3252
      4110.00      32.6249
      4120.00      33.3247
      4130.00      33.1286
      4140.00      32.2420
      4150.00      31.0733
      4160.00      30.2912
      4170.00      30.2183
      4180.00      30.8278
      4190.00      31.8768
      4200.00      33.0098
      4210.00      33.8809
      4220.00      34.3706
      4230.00      34.5396
      4240.00      34.6419
      4250.00      35.0724
      4260.00      35.6881
      4270.00      36.3111
      4280.00      36.6546
      4290.00      36.4368
      4300.00      35.5959
      4310.00      34.3858
      4320.00      33.2234
      4330.00      32.4784
      4340.00      32.3433
      4350.00      32.5791
      4360.00      33.2954
      4370.00      34.1934
      4380.00      34.9426
      4390.00      35.2999
      4400.00      35.1980
      4410.00      34.7547
      4420.00      34.1679
      4430.00      33.6447
      4440.00      33.2881
      4450.00      33.0762
      4460.00      32.8859
      4470.00      32.6298
      4480.00      32.2384
      4490.00      31.7412
      4500.00      31.2073
      4510.00      30.7461
      4520.00      30.4475
      4530.00      30.3392
      4540.00      30.3772
      4550.00      30.7572
      4560.00      31.1360
      4570.00      31.4111
      4580.00      31.5438
      4590.00      31.5561
      4600.00      31.4624
      4610.00      31.3104
      4620.00      31.1165
      4630.00      30.9405
      4640.00      30.7858
      4650.00      30.2470
      4660.00      29.7318
      4670.00      29.2693
      4680.00      28.8343
      4690.00      28.4125
      4700.00      27.9744
      4710.00      27.4775
      4720.00      26.8771
      4730.00      26.1660
      4740.00      25.3709
      4750.00      24.8842
      4760.00      24.4417
      4770.00      24.1178
      4780.00      23.9529
      4790.00      23.9518
      4800.00      24.0449
      4810.00      24.1383
      4820.00      24.1101
      4830.00      23.7330
      4840.00      22.7939
      4850.00      21.1665
      4860.00      18.7898
      4870.00      15.8225
      4880.00      12.6336
      4890.00      9.64068
      4900.00      7.10497
      4910.00      5.11467
      4920.00      3.63602
      4930.00      2.58810
      4940.00      1.85361
      4950.00      1.32198
      4960.00     0.951062
      4970.00     0.689498
      4980.00     0.501411
      4990.00     0.368524
      5000.00     0.270464
      5010.00     0.200996
      5020.00     0.151351
      5030.00     0.115748
      5040.00    0.0886046
      5050.00    0.0672353
      5060.00    0.0538849
      5070.00    0.0432811
      5080.00    0.0353636
      5090.00    0.0300722
      5100.00    0.0248608
      5110.00    0.0221935
      5120.00    0.0171208
      5130.00    0.0145545
      5140.00    0.0120285
      5150.00    0.0119936
      5160.00   0.00956700
      5170.00   0.00715442
      5180.00   0.00713364
      5190.00   0.00474195
      5200.00   0.00472819
      5210.00   0.00471387
      5220.00   0.00469959
      5230.00   0.00234268
      5240.00   0.00233560
      5250.00   0.00230810
      5260.00   0.00228064
      5270.00   0.00225322
      5280.00   0.00222584
      5290.00   0.00219849
      5300.00   0.00217119
      5310.00   0.00214420
      5320.00   0.00211724
      5330.00   0.00209032
      5340.00   0.00206342
      5350.00   0.00204791
      5360.00   0.00203242
      5370.00   0.00201697
      5380.00      0.00000
