900.452 1.23811e-17
901.354 1.6756e-17
902.258 1.78002e-17
903.163 1.82354e-17
904.068 1.86546e-17
904.974 1.91689e-17
905.882 1.9691e-17
906.79 2.01894e-17
907.699 2.07037e-17
908.609 2.12258e-17
909.52 2.17558e-17
910.431 2.23096e-17
911.344 2.2903e-17
912.258 2.37099e-17
913.172 2.59409e-17
914.088 4.71271e-17
915.004 3.636e-16
915.921 2.352e-15
916.84 6.84637e-15
917.759 1.15187e-14
918.679 1.53636e-14
919.6 1.93904e-14
920.522 2.22226e-14
921.445 2.62257e-14
922.368 2.90104e-14
923.293 3.12809e-14
924.219 4.59879e-14
925.145 4.66683e-14
926.073 3.61701e-14
927.001 5.0521e-14
927.93 7.503e-14
928.86 7.77593e-14
929.792 5.64307e-14
930.724 3.99437e-14
931.657 6.02518e-14
932.591 9.39061e-14
933.526 1.15108e-13
934.462 1.21516e-13
935.398 1.1313e-13
936.336 8.68652e-14
937.275 5.35036e-14
938.214 5.32267e-14
939.155 9.20866e-14
940.096 1.28557e-13
941.039 1.49047e-13
941.982 1.61547e-13
942.927 1.6843e-13
943.872 1.70645e-13
944.818 1.61784e-13
945.765 1.55455e-13
946.714 1.58778e-13
947.663 1.43747e-13
948.613 1.00393e-13
949.564 6.28388e-14
950.516 8.78936e-14
951.468 1.47702e-13
952.422 1.87021e-13
953.377 2.08065e-13
954.333 2.31087e-13
955.29 2.54741e-13
956.247 2.75627e-13
957.206 2.91449e-13
958.166 2.96433e-13
959.126 2.98332e-13
960.088 2.97224e-13
961.05 3.03395e-13
962.014 3.1099e-13
962.978 3.08775e-13
963.943 2.9319e-13
964.91 2.92478e-13
965.877 3.19376e-13
966.845 3.38125e-13
967.815 3.3686e-13
968.785 3.20721e-13
969.756 2.84804e-13
970.728 2.19141e-13
971.701 1.29428e-13
972.675 9.05834e-14
973.651 1.568e-13
974.627 2.5664e-13
975.604 3.30768e-13
976.582 3.76495e-13
977.561 3.99279e-13
978.541 4.13836e-13
979.522 4.28234e-13
980.504 4.37016e-13
981.487 4.42079e-13
982.471 4.51414e-13
983.456 4.60195e-13
984.442 4.56161e-13
985.428 4.58692e-13
986.416 4.72774e-13
987.405 4.58376e-13
988.395 4.24832e-13
989.386 3.95482e-13
990.378 3.91131e-13
991.371 4.37016e-13
992.365 4.73486e-13
993.359 4.84799e-13
994.355 4.61778e-13
995.352 4.66445e-13
996.35 4.93264e-13
997.349 5.04656e-13
998.349 5.1502e-13
999.349 5.26412e-13
1000.35 5.42235e-13
1001.35 5.59877e-13
1002.36 5.73168e-13
1003.36 5.84322e-13
1004.37 5.88832e-13
1005.38 5.88911e-13
1006.38 5.88357e-13
1007.39 5.92946e-13
1008.4 6.01173e-13
1009.41 6.06949e-13
1010.42 6.19844e-13
1011.44 6.31552e-13
1012.45 6.36536e-13
1013.47 6.47375e-13
1014.48 6.55128e-13
1015.5 6.65729e-13
1016.52 6.85032e-13
1017.54 6.91124e-13
1018.56 6.83529e-13
1019.58 6.71583e-13
1020.6 6.51726e-13
1021.62 6.2285e-13
1022.65 5.54497e-13
1023.67 4.23962e-13
1024.7 2.49836e-13
1025.73 1.52528e-13
1026.76 2.52526e-13
1027.78 4.35829e-13
1028.81 5.91838e-13
1029.85 7.00143e-13
1030.88 7.59872e-13
1031.91 8.0378e-13
1032.95 8.44127e-13
1033.98 8.6786e-13
1035.02 8.66278e-13
1036.06 8.19602e-13
1037.09 8.17229e-13
1038.13 8.98714e-13
1039.18 9.51719e-13
1040.22 9.7308e-13
1041.26 9.89693e-13
1042.3 9.93649e-13
1043.35 9.92067e-13
1044.39 1.00789e-12
1045.44 1.03004e-12
1046.49 1.04982e-12
1047.54 1.05457e-12
1048.59 1.06169e-12
1049.64 1.0957e-12
1050.69 1.12023e-12
1051.74 1.12814e-12
1052.8 1.14001e-12
1053.85 1.15978e-12
1054.91 1.17561e-12
1055.97 1.20013e-12
1057.03 1.22861e-12
1058.09 1.24602e-12
1059.15 1.24285e-12
1060.21 1.24839e-12
1061.27 1.27687e-12
1062.34 1.27212e-12
1063.4 1.26342e-12
1064.47 1.3006e-12
1065.54 1.3101e-12
1066.6 1.29586e-12
1067.67 1.29428e-12
1068.74 1.32117e-12
1069.81 1.38209e-12
1070.89 1.42244e-12
1071.96 1.43984e-12
1073.04 1.44696e-12
1074.11 1.47149e-12
1075.19 1.50076e-12
1076.27 1.53082e-12
1077.34 1.57196e-12
1078.42 1.6036e-12
1079.51 1.63288e-12
1080.59 1.65819e-12
1081.67 1.6661e-12
1082.76 1.66531e-12
1083.84 1.63288e-12
1084.93 1.62022e-12
1086.02 1.68984e-12
1087.1 1.78002e-12
1088.19 1.81562e-12
1089.29 1.83461e-12
1090.38 1.84015e-12
1091.47 1.85676e-12
1092.56 1.90423e-12
1093.66 1.94458e-12
1094.76 1.9422e-12
1095.85 1.85676e-12
1096.95 1.76974e-12
1098.05 1.82512e-12
1099.15 1.91847e-12
1100.25 2.04426e-12
1101.36 2.2365e-12
1102.46 2.42716e-12
1103.57 2.60437e-12
1104.67 2.74282e-12
1105.78 2.93743e-12
1106.89 3.31164e-12
1108.0 4.32664e-12
1109.11 7.51249e-12
1110.22 1.4794e-11
1111.33 2.31799e-11
1112.45 3.28315e-11
1113.56 3.7428e-11
1114.68 4.60037e-11
1115.8 8.14855e-11
1116.92 8.21975e-11
1118.04 7.95077e-11
1119.16 1.13209e-10
1120.28 1.10203e-10
1121.4 7.1644e-11
1122.53 6.95396e-11
1123.65 1.27845e-10
1124.78 1.57591e-10
